Metric,Number,Average Length (Words)
Unique prompts,239,29.606694560669457
Amypihcs,15,784.27
Kyu_Q_999,10,1149.2
Redlitnight,15,572.47
ladyofstardvst,13,1215.0
Hekate1308,15,816.67
TimeTraveller,15,780.47
badly_knitted,15,587.53
MsMoonstar,15,1274.33
QuickSilverFox3,13,1051.69
cassie_ in _the_ wonderland (cassiana_it),14,1008.79
SnarkyGranger1,15,622.8
Zarius,15,597.87
VerdantStories,14,957.5
creatureofhobbit,14,887.71
BinteMuhammad,15,1145.07
Small_Hobbit,15,602.2
BeautifulFiction,11,1517.82
All users,14,916.0
