gpt4o,llama70B,prometheus,combined
expts,expts,expts,expts
Tie,expts,expts,expts
Tie,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
expts,Tie,expts,expts
vanilla,vanilla,expts,vanilla
vanilla,Tie,expts,Tie
expts,expts,expts,expts
expts,expts,expts,expts
expts,vanilla,expts,expts
vanilla,vanilla,expts,vanilla
vanilla,expts,expts,expts
vanilla,vanilla,Tie,vanilla
vanilla,expts,vanilla,vanilla
expts,vanilla,expts,expts
Tie,expts,expts,expts
expts,Tie,Tie,Tie
Tie,Tie,expts,Tie
vanilla,vanilla,Tie,vanilla
Tie,vanilla,expts,Tie
expts,expts,Tie,expts
vanilla,vanilla,Tie,vanilla
vanilla,expts,Tie,Tie
expts,Tie,vanilla,Tie
expts,expts,expts,expts
Tie,Tie,expts,Tie
expts,vanilla,expts,expts
Tie,expts,Tie,Tie
expts,expts,expts,expts
Tie,expts,expts,expts
Tie,expts,expts,expts
vanilla,expts,expts,expts
Tie,vanilla,expts,Tie
vanilla,expts,expts,expts
Tie,vanilla,vanilla,vanilla
vanilla,expts,expts,expts
vanilla,expts,vanilla,vanilla
expts,vanilla,expts,expts
expts,expts,expts,expts
Tie,expts,Tie,Tie
