gpt4o,llama70B,prometheus,combined
expts,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
Tie,vanilla,vanilla,vanilla
expts,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
expts,expts,expts,expts
vanilla,Tie,Tie,vanilla
vanilla,expts,vanilla,vanilla
vanilla,expts,expts,expts
vanilla,expts,expts,expts
expts,expts,vanilla,expts
vanilla,vanilla,Tie,vanilla
vanilla,expts,expts,expts
expts,vanilla,Tie,Tie
Tie,Tie,expts,expts
expts,expts,Tie,expts
expts,vanilla,expts,expts
expts,expts,Tie,expts
vanilla,Tie,vanilla,vanilla
vanilla,expts,vanilla,vanilla
vanilla,expts,Tie,Tie
Tie,vanilla,vanilla,vanilla
expts,expts,expts,expts
Tie,vanilla,expts,Tie
vanilla,expts,expts,expts
expts,expts,expts,expts
expts,expts,expts,expts
expts,expts,expts,expts
vanilla,expts,vanilla,vanilla
expts,expts,expts,expts
vanilla,vanilla,expts,vanilla
Tie,expts,expts,expts
expts,vanilla,expts,expts
Tie,vanilla,expts,Tie
expts,vanilla,expts,expts
vanilla,Tie,Tie,vanilla
expts,vanilla,expts,expts
expts,vanilla,expts,expts
Tie,expts,expts,expts
expts,Tie,expts,expts
Tie,Tie,expts,expts
Tie,expts,expts,expts
vanilla,vanilla,expts,vanilla
Tie,expts,expts,expts
expts,expts,expts,expts
expts,expts,Tie,expts
vanilla,vanilla,expts,vanilla
vanilla,vanilla,expts,vanilla
vanilla,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
vanilla,expts,vanilla,vanilla
Tie,Tie,expts,expts
vanilla,expts,expts,expts
vanilla,expts,expts,expts
vanilla,expts,vanilla,vanilla
expts,Tie,Tie,expts
vanilla,expts,expts,expts
expts,vanilla,expts,expts
Tie,Tie,vanilla,vanilla
expts,vanilla,expts,expts
Tie,vanilla,vanilla,vanilla
vanilla,expts,Tie,Tie
vanilla,vanilla,Tie,vanilla
vanilla,vanilla,expts,vanilla
vanilla,expts,expts,expts
expts,expts,expts,expts
vanilla,expts,expts,expts
expts,expts,expts,expts
Tie,vanilla,Tie,vanilla
Tie,expts,expts,expts
vanilla,expts,vanilla,vanilla
vanilla,expts,Tie,Tie
expts,vanilla,expts,expts
expts,vanilla,vanilla,vanilla
vanilla,vanilla,expts,vanilla
expts,expts,Tie,expts
expts,expts,expts,expts
expts,expts,expts,expts
expts,vanilla,expts,expts
expts,expts,expts,expts
