gpt4o,llama70B,prometheus,combined
Tie,expts,expts,expts
vanilla,expts,vanilla,vanilla
vanilla,expts,expts,expts
Tie,vanilla,Tie,Tie
expts,expts,Tie,expts
vanilla,vanilla,expts,vanilla
expts,expts,expts,expts
expts,expts,expts,expts
expts,vanilla,expts,expts
vanilla,vanilla,expts,vanilla
vanilla,expts,expts,expts
expts,expts,Tie,expts
expts,expts,vanilla,expts
expts,vanilla,expts,expts
expts,vanilla,expts,expts
expts,vanilla,vanilla,vanilla
expts,expts,expts,expts
expts,expts,expts,expts
expts,vanilla,vanilla,vanilla
expts,vanilla,expts,expts
Tie,expts,Tie,Tie
expts,expts,Tie,expts
expts,expts,expts,expts
expts,expts,vanilla,expts
vanilla,expts,expts,expts
expts,expts,expts,expts
expts,expts,expts,expts
expts,expts,expts,expts
expts,Tie,expts,expts
expts,expts,vanilla,expts
vanilla,Tie,expts,Tie
vanilla,expts,Tie,Tie
expts,expts,Tie,expts
Tie,expts,expts,expts
vanilla,Tie,expts,Tie
vanilla,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
expts,expts,Tie,expts
expts,expts,expts,expts
