gpt4o,llama70B,prometheus,combined
vanilla,Tie,vanilla,vanilla
expts,Tie,expts,expts
vanilla,vanilla,expts,vanilla
vanilla,expts,vanilla,vanilla
Tie,expts,expts,expts
vanilla,vanilla,expts,vanilla
expts,Tie,expts,expts
vanilla,expts,expts,expts
expts,Tie,expts,expts
expts,expts,Tie,expts
Tie,vanilla,vanilla,vanilla
expts,expts,Tie,expts
vanilla,expts,vanilla,vanilla
vanilla,Tie,vanilla,vanilla
expts,expts,expts,expts
expts,vanilla,expts,expts
expts,expts,expts,expts
expts,vanilla,expts,expts
expts,expts,Tie,expts
vanilla,vanilla,Tie,vanilla
Tie,expts,expts,expts
expts,expts,expts,expts
vanilla,expts,expts,expts
vanilla,expts,Tie,Tie
Tie,expts,expts,expts
expts,vanilla,expts,expts
expts,vanilla,expts,expts
expts,vanilla,expts,expts
vanilla,Tie,expts,Tie
expts,expts,Tie,expts
Tie,expts,vanilla,Tie
vanilla,vanilla,expts,vanilla
vanilla,expts,expts,expts
expts,Tie,expts,expts
vanilla,expts,expts,expts
expts,expts,expts,expts
expts,expts,expts,expts
Tie,Tie,expts,Tie
expts,vanilla,Tie,Tie
expts,vanilla,vanilla,vanilla
