gpt4o,llama70B,prometheus,combined
Tie,Tie,expts,expts
vanilla,vanilla,vanilla,vanilla
Tie,vanilla,vanilla,vanilla
expts,expts,Tie,expts
vanilla,vanilla,vanilla,vanilla
vanilla,expts,Tie,Tie
Tie,vanilla,expts,Tie
vanilla,vanilla,vanilla,vanilla
Tie,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
expts,vanilla,Tie,Tie
Tie,vanilla,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
vanilla,vanilla,Tie,vanilla
expts,expts,expts,expts
expts,expts,vanilla,expts
vanilla,vanilla,Tie,vanilla
Tie,expts,Tie,expts
Tie,vanilla,Tie,vanilla
expts,vanilla,vanilla,vanilla
vanilla,Tie,expts,Tie
vanilla,Tie,vanilla,vanilla
vanilla,expts,vanilla,vanilla
Tie,vanilla,vanilla,vanilla
expts,expts,vanilla,expts
vanilla,vanilla,Tie,vanilla
Tie,expts,vanilla,Tie
vanilla,vanilla,expts,vanilla
vanilla,vanilla,vanilla,vanilla
expts,expts,Tie,expts
vanilla,vanilla,Tie,vanilla
vanilla,vanilla,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
vanilla,Tie,vanilla,vanilla
expts,expts,expts,expts
vanilla,vanilla,Tie,vanilla
expts,expts,vanilla,expts
Tie,Tie,expts,expts
expts,vanilla,Tie,Tie
expts,expts,expts,expts
vanilla,expts,Tie,Tie
vanilla,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
vanilla,Tie,expts,Tie
expts,expts,Tie,expts
expts,expts,Tie,expts
expts,expts,expts,expts
vanilla,vanilla,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
vanilla,expts,Tie,Tie
Tie,Tie,expts,expts
expts,vanilla,expts,expts
vanilla,vanilla,Tie,vanilla
vanilla,expts,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
Tie,expts,Tie,expts
vanilla,expts,expts,expts
vanilla,expts,expts,expts
expts,expts,Tie,expts
vanilla,expts,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
vanilla,vanilla,vanilla,vanilla
Tie,vanilla,expts,Tie
vanilla,vanilla,vanilla,vanilla
expts,expts,Tie,expts
expts,expts,expts,expts
vanilla,expts,Tie,Tie
expts,Tie,Tie,expts
expts,vanilla,vanilla,vanilla
expts,expts,expts,expts
vanilla,vanilla,Tie,vanilla
expts,vanilla,vanilla,vanilla
expts,expts,vanilla,expts
vanilla,Tie,expts,Tie
vanilla,vanilla,vanilla,vanilla
expts,Tie,Tie,expts
vanilla,expts,expts,expts
vanilla,Tie,expts,Tie
vanilla,vanilla,expts,vanilla
